"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"ktversie","integer",1041,0.51872399445215,10,4.92987512007685,5,5,NA,2.52675698272996,NA,1,9,8,0.0584882052246971,0.385755851082717,-1.16877386593129,-3.85796882264934,NA,NA
"kt_slider_personal_senior","numeric",1041,0.51872399445215,191,0.142423722611042,0.085714285714286,0.085714285714286,NA,0.18763078283946,NA,0,1,1,2.02602593019545,13.3625464145407,5.14575610862061,16.9854641814713,NA,NA
"kt_slider_team","numeric",1041,0.51872399445215,216,0.164131558483143,0.13714285714286,0.13714285714286,NA,0.176798763349598,NA,0,1,1,1.38911734357437,9.16184965952795,2.61497141659704,8.63167674382585,NA,NA
"kt_slider_personal_ecr","numeric",1041,0.51872399445215,207,0.152210786331824,0.125,0.125,NA,0.163839654678336,NA,0,1,1,1.79203288622954,11.819257721107,4.81044464301772,15.8786451312849,NA,NA
"kt_slider_thematic","numeric",1041,0.51872399445215,256,0.0871181313616472,0.055555555555556,0.055555555555556,NA,0.105993427288384,NA,0,0.7375,0.7375,1.47969738171598,9.75926549012466,3.03531552621793,10.0191773690298,NA,NA
"kt_slider_thematic_co","numeric",1041,0.51872399445215,203,0.0504057869763922,0,0,NA,0.0830918718596265,NA,0,0.67333333333333,0.67333333333333,2.40735048087741,15.8775522353201,8.72329778793426,28.7944587721597,NA,NA
"kt_slider_small_first","numeric",1041,0.51872399445215,194,0.159878779561777,0.1,0.1,NA,0.197864381973083,NA,0,1,1,1.85873795924409,12.2592074872763,4.35625512268988,14.3794252564439,NA,NA
"kt_slider_small_second","numeric",1041,0.51872399445215,160,0.102145373038745,0,0,NA,0.162343305700189,NA,0,1,1,2.45862581641503,16.215735987478,8.05119138263621,26.5759239189042,NA,NA
"kt_slider_award","numeric",1041,0.51872399445215,43,0.0943570742418005,0,0,NA,0.181767117427396,NA,0,1,1,3.06772137024779,20.2329933619655,10.7622968428203,35.5249264977484,NA,NA
"kt_slider_first_ecr","numeric",1041,0.51872399445215,256,0.260148895292988,0.23333333333333,0.23333333333333,NA,0.236230600882664,NA,0,1,1,1.11020051993042,7.32226856325886,1.19106601426807,3.93155227260494,NA,NA
"kt_slider_rolling_ecr","numeric",1041,0.51872399445215,411,0.2726828321641,0.26222222222222,0.26222222222222,NA,0.169442471762099,NA,0,1,1,0.448688941272954,2.95930408100581,0.302443123442588,0.998324975324852,NA,NA
"kt_slider_rolling_senior","numeric",1041,0.51872399445215,339,0.157543789063962,0.14111111111111,0.14111111111111,NA,0.129920293909478,NA,0,1,1,0.997573227956422,6.57944124100374,2.2196193904898,7.32667169952018,NA,NA
"work_life","numeric",889,0.588996763754045,4,2.45556805399325,3,3,NA,0.673245917525528,NA,1,3,2,-0.844674842620775,-5.14950893173738,-0.453652302205886,-1.38437425391998,NA,NA
"grade","integer",870,0.597780859916782,11,7.61609195402299,8,8,NA,1.1572430198341,NA,1,10,9,-0.863612414626733,-5.20858556903631,3.33187011852396,10.0589721099851,NA,NA
"ct","numeric",905,0.58159963014332,842,82.3087112226539,37.3166656494141,37.3166656494141,NA,169.903567762502,NA,6.81666660308838,1433.96667480469,1427.1500082016,5.14630967960589,31.6542981710513,29.7556502608342,91.6118963910465,NA,NA
"versie","integer",2163,0,3,2.08922792417938,2,2,NA,0.851558676094226,NA,1,3,2,-0.170854346167734,-1.62311594150717,-1.60083184553882,-7.60745292157856,NA,NA
"age","integer",905,0.58159963014332,7,2.60552486187845,2,2,NA,0.960602442613539,NA,1,6,5,0.622958438439197,3.83173834965116,0.133676305525293,0.411563509598048,NA,NA
"sex","factor",859,0.602866389274156,3,NA,NA,1304,NA,NA,0.499169920353011,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quit","integer",1032,0.522884882108183,4,2.08817829457364,2,2,NA,0.749377870125965,NA,1,3,2,-0.144756950025714,-0.95061260782802,-1.21139212990955,-3.98140603316927,NA,NA
"major_changes","integer",977,0.548312528895053,4,2.76970317297851,3,3,NA,0.4379338761003,NA,1,3,2,-1.53237798078469,-9.79203290914267,1.03086840187944,3.29701619067589,NA,NA
"grant_no","numeric",2163,0,2,0.0545538603791031,0,0,NA,0.22715984061735,NA,0,1,1,3.92006086439113,37.2405702482108,13.3730604663447,63.5512894115986,NA,NA
"grant_pers_nl","numeric",2163,0,2,0.231622746185853,0,0,NA,0.421966786159832,NA,0,1,1,1.2714421429001,12.0786977746483,-0.383611587770288,-1.8229941528632,NA,NA
"grant_pers_foreign","numeric",2163,0,2,0.154415164123902,0,0,NA,0.361429820138816,NA,0,1,1,1.91143644245031,18.158642320243,1.65435475734872,7.86180382854881,NA,NA
"grant_consortium","numeric",2163,0,2,0.137771613499769,0,0,NA,0.344739816071415,NA,0,1,1,2.1004879847673,19.9546315882009,2.413166072266,11.4678173962333,NA,NA
"grant_faculty","numeric",2163,0,2,0.092464170134073,0,0,NA,0.289747063427148,NA,0,1,1,2.8117449249442,26.7115710749809,5.90864185239989,28.0789733461802,NA,NA
