version;project;1830-jaarlijkse-kosten-van-deze-keuze;1831-maximum-aantal-phd-equivalenten-per-jaar;1832-maximum-aantal-tenure-track-positie-equivalenten-per-jaar;1833-maximum-jaarlijks-aantal-fte-besteed-aan-schrijven-voorstellen;1834-maximum-jaarlijks-budget-verdeeld-niet-op-basis-van-competitite;1835-maximum-jaarlijks-budget-verdeeld-op-basis-van-competitie;1836-gemiddelde-succeskans-per-voorstel;1837-aantal-weken-besteed-per-ingediend-voorstel
4;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;1125;0;150;5;3
4;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;0;400;0;100;0
4;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;0;400;0;100;0
5;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;2000;0;150;15;4
5;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;2000;0;150;30;4
5;3184-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;150;0;750;500;0;150;15;4
5;3185-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;400;2400;800;2800;0;400;20;4
5;3186-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;400;3600;1200;3500;0;400;30;5
5;3187-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;150;1500;0;150;0;150;50;1
5;3188-geld-voor-kleinere-beurzen-50k-100k-via-nwo;150;1500;0;429;0;150;35;2
5;3189-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;0;0;625;0;50;1;1
5;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;1500;0;150;5;4
5;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
5;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
6;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;3000;0;150;15;6
6;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;3000;0;150;30;6
6;3184-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;150;0;750;750;0;150;15;6
6;3185-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;400;2400;800;5600;0;400;20;8
6;3186-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;400;3600;1200;7000;0;400;30;10
6;3187-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;150;1500;0;150;0;150;50;1
6;3188-geld-voor-kleinere-beurzen-50k-100k-via-nwo;150;1500;0;429;0;150;35;2
6;3189-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;0;0;625;0;50;1;1
6;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;1875;0;150;5;5
6;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
6;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
7;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;900;0;150;25;3
7;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;1286;0;150;35;3
7;3184-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;150;0;750;225;0;150;25;3
7;3185-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;400;2400;800;2240;0;400;25;4
7;3186-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;400;3600;1200;2400;0;400;35;4
7;3187-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;150;1500;0;125;0;150;60;1
7;3188-geld-voor-kleinere-beurzen-50k-100k-via-nwo;150;1500;0;375;0;150;40;2
7;3189-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;0;0;625;0;50;1;1
7;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;703;0;150;8;3
7;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;0;400;0;100;0
7;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;0;400;0;100;0
8;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;1200;0;150;25;4
8;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;1714;0;150;35;4
8;3184-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;150;0;750;300;0;150;25;4
8;3185-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;400;2400;800;2240;0;400;25;4
8;3186-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;400;3600;1200;3000;0;400;35;5
8;3187-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;150;1500;0;125;0;150;60;1
8;3188-geld-voor-kleinere-beurzen-50k-100k-via-nwo;150;1500;0;375;0;150;40;2
8;3189-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;0;0;625;0;50;1;1
8;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;938;0;150;8;4
8;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
8;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
9;3182-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;150;1500;0;1800;0;150;25;6
9;3183-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;150;1500;0;2571;0;150;35;6
9;3184-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;150;0;750;450;0;150;25;6
9;3185-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;400;2400;800;4480;0;400;25;8
9;3186-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;400;3600;1200;6000;0;400;35;10
9;3187-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;150;1500;0;125;0;150;60;1
9;3188-geld-voor-kleinere-beurzen-50k-100k-via-nwo;150;1500;0;375;0;150;40;2
9;3189-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;0;0;625;0;50;1;1
9;3190-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;150;1500;750;1172;0;150;8;5
9;3191-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
9;3192-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;400;4000;0;100;400;0;100;1
