version;project;1838-jaarlijkse-kosten-van-deze-keuze;1839-maximum-aantal-phd-equivalenten-per-jaar;1840-maximum-aantal-tenure-track-positie-equivalenten-per-jaar;1841-maximum-jaarlijks-aantal-fte-besteed-aan-schrijven-voorstellen;1842-maximum-jaarlijks-budget-verdeeld-niet-op-basis-van-competitite;1843-maximum-jaarlijks-budget-verdeeld-op-basis-van-competitie;1844-gemiddelde-succeskans-per-voorstel;1845-aantal-weken-besteed-per-ingediend-voorstel
3;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;10500;0;350;10;6
3;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;8400;0;350;25;6
3;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;2625;0;350;10;6
3;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;16800;0;900;15;8
3;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;18900;0;900;25;10
3;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;438;0;350;40;1
3;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;1167;0;350;30;2
3;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
3;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;10938;0;350;2;5
3;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
3;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
4;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;3500;0;350;15;3
4;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;3500;0;350;30;3
4;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;875;0;350;15;3
4;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;6300;0;900;20;4
4;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;6300;0;900;30;4
4;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;350;0;350;50;1
4;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;1000;0;350;35;2
4;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
4;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;2625;0;350;5;3
4;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;0;900;0;100;0
4;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;0;900;0;100;0
5;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;4667;0;350;15;4
5;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;4667;0;350;30;4
5;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;1167;0;350;15;4
5;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;6300;0;900;20;4
5;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;7875;0;900;30;5
5;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;350;0;350;50;1
5;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;1000;0;350;35;2
5;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
5;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;3500;0;350;5;4
5;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
5;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
6;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;7000;0;350;15;6
6;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;7000;0;350;30;6
6;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;1750;0;350;15;6
6;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;12600;0;900;20;8
6;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;15750;0;900;30;10
6;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;350;0;350;50;1
6;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;1000;0;350;35;2
6;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
6;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;4375;0;350;5;5
6;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
6;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
7;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;2100;0;350;25;3
7;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;3000;0;350;35;3
7;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;525;0;350;25;3
7;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;5040;0;900;25;4
7;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;5400;0;900;35;4
7;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;292;0;350;60;1
7;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;875;0;350;40;2
7;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
7;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;1641;0;350;8;3
7;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;0;900;0;100;0
7;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;0;900;0;100;0
8;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;2800;0;350;25;4
8;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;4000;0;350;35;4
8;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;700;0;350;25;4
8;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;5040;0;900;25;4
8;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;6750;0;900;35;5
8;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;292;0;350;60;1
8;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;875;0;350;40;2
8;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
8;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;2188;0;350;8;4
8;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
8;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
9;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;4200;0;350;25;6
9;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;6000;0;350;35;6
9;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;1050;0;350;25;6
9;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;10080;0;900;25;8
9;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;13500;0;900;35;10
9;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;292;0;350;60;1
9;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;875;0;350;40;2
9;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
9;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;2734;0;350;8;5
9;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
9;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
