version;project;1838-jaarlijkse-kosten-van-deze-keuze;1839-maximum-aantal-phd-equivalenten-per-jaar;1840-maximum-aantal-tenure-track-positie-equivalenten-per-jaar;1841-maximum-jaarlijks-aantal-fte-besteed-aan-schrijven-voorstellen;1842-maximum-jaarlijks-budget-verdeeld-niet-op-basis-van-competitite;1843-maximum-jaarlijks-budget-verdeeld-op-basis-van-competitie;1844-gemiddelde-succeskans-per-voorstel;1845-aantal-weken-besteed-per-ingediend-voorstel
1;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;5250;0;350;10;3
1;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;4200;0;350;25;3
1;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;1313;0;350;10;3
1;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;8400;0;900;15;4
1;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;7560;0;900;25;4
1;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;438;0;350;40;1
1;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;1167;0;350;30;2
1;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
1;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;6563;0;350;2;3
1;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;0;900;0;100;0
1;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;0;900;0;100;0
2;3193-geld-naar-persoonlijke-beurzen-voor-senior-onderzoekers-via-competitie;350;3500;0;7000;0;350;10;4
2;3194-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;350;3500;0;5600;0;350;25;4
2;3195-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;350;0;1750;1750;0;350;10;4
2;3196-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;900;5400;1800;8400;0;900;15;4
2;3197-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;900;8100;2700;9450;0;900;25;5
2;3198-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;350;3500;0;438;0;350;40;1
2;3199-geld-voor-kleinere-beurzen-50k-100k-via-nwo;350;3500;0;1167;0;350;30;2
2;3200-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
2;3201-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;350;0;1750;8750;0;350;2;4
2;3202-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
2;3203-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;900;9000;0;225;900;0;100;1
