version;project;1481-maximum-kosten-van-deze-keuze;1482-maximum-aantal-phd-equivalenten-per-jaar;1483-maximum-aantal-tenure-track-positie-equivalenten-per-jaar;1484-maximum-jaarlijks-aantal-fte-besteed-aan-schrijven-voorstellen;1706-maximum-jaarlijks-budget-verdeeld-niet-op-basis-van-competitite;1707-maximum-jaarlijks-budget-verdeeld-op-basis-van-competitie;1708-gemiddelde-succeskans-per-voorstel;1776-aantal-weken-besteed-per-ingediend-voorstel
4;1877-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;0;550;0;100;0
4;1878-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;0;550;0;100;0
4;2494-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;200;2000;0;2400;0;200;25;3
5;1869-geld-naar-persoonlijke-beurzen-voor-gevestigde-onderzoekers-via-competitie;200;2000;0;4000;0;200;10;4
5;1870-geld-voor-kleinere-beurzen-50k-100k-via-nwo;200;2000;0;667;0;200;30;2
5;1871-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;200;0;1000;1000;0;200;10;4
5;1872-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;550;3300;1100;5133;0;550;15;4
5;1873-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;550;4950;1650;5775;0;550;25;5
5;1874-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
5;1875-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;200;2000;0;250;0;200;40;1
5;1876-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;200;0;1000;5000;0;200;2;4
5;1877-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
5;1878-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
5;2494-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;200;2000;0;3200;0;200;25;4
6;1869-geld-naar-persoonlijke-beurzen-voor-gevestigde-onderzoekers-via-competitie;200;2000;0;6000;0;200;10;6
6;1870-geld-voor-kleinere-beurzen-50k-100k-via-nwo;200;2000;0;667;0;200;30;2
6;1871-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;200;0;1000;1500;0;200;10;6
6;1872-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;550;3300;1100;10267;0;550;15;8
6;1873-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;550;4950;1650;11550;0;550;25;10
6;1874-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
6;1875-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;200;2000;0;250;0;200;40;1
6;1876-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;200;0;1000;6250;0;200;2;5
6;1877-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
6;1878-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
6;2494-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;200;2000;0;4800;0;200;25;6
7;1869-geld-naar-persoonlijke-beurzen-voor-gevestigde-onderzoekers-via-competitie;200;2000;0;1200;0;200;25;3
7;1870-geld-voor-kleinere-beurzen-50k-100k-via-nwo;200;2000;0;500;0;200;40;2
7;1871-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;200;0;1000;300;0;200;25;3
7;1872-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;550;3300;1100;3080;0;550;25;4
7;1873-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;550;4950;1650;3300;0;550;35;4
